data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9364526,646,RWA718,718,2022-06-17,2022,1,Battles,Armed clash,Military Forces of the Democratic Republic of Congo (2019-),,8,Police Forces of Rwanda (1994-),,1,18,Eastern Africa,Rwanda,West,Rubavu,Gisenyi,Gisenyi,-1.7008,29.2633,1,Igihe,National,"On 17 June 2022, an FARDC soldier exchanged fire with Rwandan police forces at the Petite Barriere border in Gasutamo village, Gisenyi (Rubavu, West). The government of Rwanda said one FARDC soldier was killed and two Rwandan policemen injured. An unknown number of civilians were also injured. Some Congolese reports claimed the clash took place on DR Congo side, unsupported by local sources.",1,1655827948,RWA
9364459,800,UGA7972,7972,2022-06-16,2022,1,Strategic developments,Arrests,Military Forces of Uganda (1986-),,1,Civilians (Uganda),ADF: Allied Democratic Forces,7,17,Eastern Africa,Uganda,Central,Luwero,Katikamu,Luwero,0.8413,32.4933,2,Daily Monitor (Uganda),National,"On 16 June 2022, UPDF soldiers arrested three ADF members including a commander near the Kampala-Gulu highway at Kikubajinja zone in Luwero town council (Luwero, Central). UPDF also discovered a suspected ADF training facility and a cache of weapons and explosives.",0,1655827947,UGA
9364460,800,UGA7978,7978,2022-06-15,2022,1,Protests,Peaceful protest,Protesters (Uganda),Refugees/IDPs (Uganda),6,,,0,60,Eastern Africa,Uganda,Western,Kisoro,Bufumbira,Bunagana,-1.1667,29.6667,1,Daily Monitor (Uganda),National,"On 15 June 2022, hundreds of Congolese refugees demonstrated and camped at Bunagana border (Kisoro, Western), demanding to return home. [size=hundreds]",0,1655827947,UGA
9364458,800,UGA7980,7980,2022-06-14,2022,1,Protests,Protest with intervention,Protesters (Uganda),FDC: Forum for Democratic Change,6,Police Forces of Uganda (1986-),,1,16,Eastern Africa,Uganda,Central,Kampala,Kampala,Kampala,0.3156,32.5656,1,Daily Monitor (Uganda),National,"On 14 June 2022, FDC supporters including leaders of Kizza Besigye and Samuel Walter Lubega Mukaaku, demonstrated in Kampala town (Kampala, central), against the government inaction to cushion Ugandans and high commodity prices. Besigye and Samuel were arrested by police. [size=no report]",0,1655827947,UGA
9364525,262,DJI207,207,2022-06-13,2022,1,Protests,Peaceful protest,Protesters (Djibouti),Labour Group (Djibouti),6,,,0,60,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,Huno Djibouti,New media,"On 13 June 2022, employees of the Radio Television Djibouti organized a protest at the Prime Minister's in Djibouti (Djibouti, Djibouti) and demanded to receive their salaries and bonuses. [size=no report]",0,1655827948,DJI
9364457,800,UGA7977,7977,2022-06-12,2022,1,Riots,Mob violence,Rioters (Uganda),Students (Uganda),5,,,0,50,Eastern Africa,Uganda,Central,Lyantonde,Kabula,Kaliro,-0.2635,31.145,1,Daily Monitor (Uganda),National,"On 12 June 2022, students from St John's Comprehensive Secondary School destroyed the school's property in Kaliro (Lyantonde, Central), for unknown reasons. 20 students were arrested and the school was closed for two weeks. [size=no report]",0,1655827947,UGA
9364604,800,UGA7979,7979,2022-06-11,2022,1,Protests,Protest with intervention,Protesters (Uganda),,6,Police Forces of Uganda (1986-),,1,16,Eastern Africa,Uganda,Western,Kabarole,Burahya,Kaswa,0.6424,30.3426,1,New Vision (Uganda),National,"On 11 June 2022, residents demonstrated over poor service delivery at Kaswa Health Centre III (Kabarole, Western). Police forces intervened and blocked the demonstrators from entering the facility. [size=no report]",0,1655827948,UGA
9355915,646,RWA717,717,2022-06-10,2022,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of the Democratic Republic of Congo (2019-),,8,,,0,80,Eastern Africa,Rwanda,North,Musanze,Kinigi,Nyabigoma,-1.4133,29.5563,1,Igihe,National,"On 10 June 2022, suspected FARDC fired shells into Nyabigoma (Musanze, Northe). There were no causalities.",0,1655149930,RWA
9355862,800,UGA7953,7953,2022-06-09,2022,1,Battles,Armed clash,Karamajong Ethnic Militia (Uganda),Pastoralists (Uganda),4,Police Forces of Uganda (1986-) Internal Security Organisation,,1,14,Eastern Africa,Uganda,Northern,Napak,Bokora,Napak,2.3724,34.2482,2,Daily Monitor (Uganda),National,"On 9 June 2022, a group of suspected Karamajong pastoralists shot killed the Gombolola Intelligence Officer (GISO) on duty at Nakichelet village, Napak district (Northern).",1,1655149929,UGA
9355858,800,UGA7960,7960,2022-06-08,2022,1,Riots,Mob violence,Rioters (Uganda),Baganda Ethnic Group (Uganda),5,Rioters (Uganda),Bakooki Ethnic Group (Uganda),5,55,Eastern Africa,Uganda,Central,Rakai,Kooki,Kamengo-Nsonso,-0.6578,31.3598,1,Daily Monitor (Uganda),National,"On 8 June 2022, Bakooki youth fought with Buganda youth at Kamengo-Nsonso Village (Rakai, Central), leaving two civilians injured. Bakooki youths accused the people from Buganda of organizing a function in their kingdom without their permission. Police fired in the air to calm down the situation. [size=no report]",0,1655149929,UGA
